,START,UPTIME,TEMP,PRESURE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RSSI,GROUND_UTIME,END
,CVC-CANSAT-START,216.525,19.1584,991.547,-0.00859543,-0.00309825,-0.000915719,-0.000371235,8.31081e-05,3.92287e-06, -74, 56.402,CVC-CANSAT-END 
,CVC-CANSAT-START,217.326,19.1385,991.569,-0.00857107,-0.00306959,-0.000869861,-0.000371821,8.25933e-05,4.41989e-06, -74, 57.203,CVC-CANSAT-END 
,CVC-CANSAT-START,218.125,19.1359,991.573,-0.0085768,-0.00311688,-0.000802508,-0.000372123,8.31258e-05,4.01162e-06, -73, 57.997,CVC-CANSAT-END 
,CVC-CANSAT-START,218.92,19.1385,991.566,-0.00859973,-0.00304666,-0.000796776,-0.000372194,8.30371e-05,3.65661e-06, -73, 58.791,CVC-CANSAT-END 
,CVC-CANSAT-START,219.714,19.1385,991.56,-0.00856534,-0.00305956,-0.000812539,-0.000372797,8.33921e-05,4.34889e-06, -74, 59.585,CVC-CANSAT-END 
,CVC-CANSAT-START,220.509,19.151,991.581,-0.00855244,-0.00305239,-0.000835468,-0.000371945,8.28773e-05,4.02938e-06, -74, 60.38,CVC-CANSAT-END 
,CVC-CANSAT-START,221.304,19.1559,991.592,-0.00862409,-0.00309252,-0.000801075,-0.000372247,8.33033e-05,3.78087e-06, -75, 61.18,CVC-CANSAT-END 
,CVC-CANSAT-START,222.104,19.1535,991.582,-0.00859256,-0.00305096,-0.000821137,-0.000371874,8.36051e-05,4.17138e-06, -75, 61.98,CVC-CANSAT-END 
,CVC-CANSAT-START,222.905,19.1535,991.614,-0.00861119,-0.00306959,-0.000832602,-0.000373507,8.34808e-05,4.68614e-06, -74, 62.781,CVC-CANSAT-END 
,CVC-CANSAT-START,223.705,19.151,991.627,-0.00857537,-0.00311688,-0.000888491,-0.000372833,8.28241e-05,5.34292e-06, -75, 63.58,CVC-CANSAT-END 
,CVC-CANSAT-START,224.503,19.1484,991.601,-0.00854527,-0.00307962,-0.000838334,-0.000373294,8.29128e-05,4.36664e-06, -78, 64.379,CVC-CANSAT-END 
,CVC-CANSAT-START,225.303,19.1484,991.588,-0.00858253,-0.00310112,-0.00092575,-0.000371874,8.31791e-05,4.63289e-06, -76, 65.174,CVC-CANSAT-END 
,CVC-CANSAT-START,226.098,19.1535,991.581,-0.00857393,-0.00307962,-0.000882759,-0.00037246,8.30193e-05,4.36664e-06, -77, 65.969,CVC-CANSAT-END 
,CVC-CANSAT-START,226.893,19.1359,991.607,-0.0085854,-0.00310112,-0.000811106,-0.000372087,8.28418e-05,4.04713e-06, -77, 66.764,CVC-CANSAT-END 
,CVC-CANSAT-START,227.688,19.1359,991.583,-0.00861979,-0.00307819,-0.000796776,-0.000370401,8.30371e-05,4.57964e-06, -77, 67.564,CVC-CANSAT-END 
,CVC-CANSAT-START,228.489,19.1385,991.6,-0.00856677,-0.00306959,-0.000885625,-0.00037191,8.30903e-05,4.29563e-06, -77, 68.358,CVC-CANSAT-END 
